Date,Average,Bear Lake (322) Precipitation Increment (in) Sum of Daily Values,Berthoud Summit (335) Precipitation Increment (in) Sum of Daily Values,Brumley (369) Precipitation Increment (in) Sum of Daily Values,Butte (380) Precipitation Increment (in) Sum of Daily Values,Columbine (408) Precipitation Increment (in) Sum of Daily Values,Copeland Lake (412) Precipitation Increment (in) Sum of Daily Values,Copper Mountain (415) Precipitation Increment (in) Sum of Daily Values,Deadman Hill (438) Precipitation Increment (in) Sum of Daily Values,Dry Lake (457) Precipitation Increment (in) Sum of Daily Values,Elk River (467) Precipitation Increment (in) Sum of Daily Values,Fremont Pass (485) Precipitation Increment (in) Sum of Daily Values,Grizzly Peak (505) Precipitation Increment (in) Sum of Daily Values,Hoosier Pass (531) Precipitation Increment (in) Sum of Daily Values,Independence Pass (542) Precipitation Increment (in) Sum of Daily Values,Joe Wright (551) Precipitation Increment (in) Sum of Daily Values,Kiln (556) Precipitation Increment (in) Sum of Daily Values,Lake Eldora (564) Precipitation Increment (in) Sum of Daily Values,Lake Irene (565) Precipitation Increment (in) Sum of Daily Values,Lynx Pass (607) Precipitation Increment (in) Sum of Daily Values,Mc Clure Pass (618) Precipitation Increment (in) Sum of Daily Values,Niwot (663) Precipitation Increment (in) Sum of Daily Values,Park Cone (680) Precipitation Increment (in) Sum of Daily Values,Phantom Valley (688) Precipitation Increment (in) Sum of Daily Values,Porphyry Creek (701) Precipitation Increment (in) Sum of Daily Values,Roach (718) Precipitation Increment (in) Sum of Daily Values,Summit Ranch (802) Precipitation Increment (in) Sum of Daily Values,Tower (825) Precipitation Increment (in) Sum of Daily Values,University Camp (838) Precipitation Increment (in) Sum of Daily Values,Vail Mountain (842) Precipitation Increment (in) Sum of Daily Values,Willow Creek Pass (869) Precipitation Increment (in) Sum of Daily Values,Willow Park (870) Precipitation Increment (in) Sum of Daily Values
Sep-90,2.07,1.2,2.9,1.8,2.6,1.3,1.3,1.7,2,1.6,1.1,1.8,2.3,3.6,1.6,2.2,1.8,1.4,1.7,2.5,2.2,2.6,2.3,1.7,4.3,1.2,2.4,1.6,2.8,2.4,1.7,2.7
Sep-91,1.49,1.4,1.5,1.1,1.7,1.2,1.4,1.2,1,2.4,1.6,0.9,1.2,1.1,1.4,2,1.4,1.6,1.6,1.3,3,1.1,0.9,1.2,1.3,0.7,1.2,3.1,1.6,2.4,1.2,1.5
Sep-92,1.13,1.8,1.6,0.5,1,0.6,1,1.6,0.2,1.4,1.5,1.1,1,1.2,0.6,1.8,1.3,0.6,0.9,0.8,1.3,0.2,1,1.1,1.3,1,1.5,2.4,0.9,2.1,0.8,1
Sep-93,2.29,3.7,2.5,2,1.7,2,3,1.6,2.2,2.5,1.1,2,2.8,1,2.1,2.1,2,3.3,3.2,1.6,2.7,3.4,1.1,2.2,1.3,2.4,2,4.3,3.3,1.7,1.4,2.7
Sep-94,1.62,1.5,2.4,2,2.6,0.3,0.8,1.8,1.2,1.2,1.1,1.7,2.2,1.7,2.2,1.6,1.2,1.6,1.5,1,2.3,1.5,2.8,1,2.8,0.5,1.6,1.8,1.5,1.9,1.1,1.8
Sep-95,2.54,3,3.9,2,2.5,2.7,2.6,1.9,3.7,3.1,2.3,2.1,2.4,1.8,2.3,4.6,1.9,2,2.3,1.3,2.1,2.2,1.7,2.2,2,3,3.1,3.2,2.8,2.9,2.6,2.4
Sep-96,3.14,4.8,5.1,1.9,1.4,3.5,1.9,3.4,3.2,2.8,1.6,2,3.7,3.2,2.8,4.2,2.4,4.3,3.6,2.5,4.8,4.4,1.5,3,1.7,2.8,1.9,2.8,4.9,4.5,2.3,4.3
Sep-97,3.4,2.9,3.6,2.2,2.7,6.9,2.2,1.1,5.2,7.4,5.8,1.2,1.7,1.3,2.6,5.6,1.7,2.2,3,3.6,4.6,2.8,2.2,2.9,1.9,5.9,1.6,7.7,2.9,2.6,4.1,3.2
Sep-98,1.02,1.4,1.3,0.8,1,1.3,0.7,1.6,0.4,1.1,1.6,1.2,1.1,1.9,1.1,1.3,1,0.7,0.6,0.4,1,0.4,0.7,0.8,1.6,1,0.8,0.9,1,1.1,1,0.9
Sep-99,1.66,2.2,1.7,2.6,1.5,1.1,2.2,1.5,1.9,0.8,1.8,2.2,1.4,1.7,2.1,2.4,1.5,2.2,1.6,1.1,2.8,1.9,1.3,1.3,1.6,1.6,1,1,2,1.5,0.9,1.1
Sep-00,2.46,4.2,2.5,2.3,1.6,3.4,2.7,2,2.7,3.2,2.1,2.1,1.8,1.3,2.2,3.7,2.2,2.6,2.1,1.4,3.1,1.8,1.6,2.1,1.9,2.9,1.9,3.9,2.9,2.3,2.8,2.9
1-Sep,1.62,1.8,2.4,2.1,1,1.9,0.5,1.5,1.7,1.7,1.2,1.5,2.1,1.6,1.8,3.6,0.6,0.4,1.7,1.6,0.7,2.1,0.8,1.5,1.2,1.7,1.2,2,2.4,2.2,1.7,1.9
2-Sep,2.41,1.3,2.6,1.7,3.3,1.9,2.4,2.6,1.2,2.2,2.3,2.4,1.8,2.7,2.9,2.9,3.3,2.5,1.9,1.6,3.1,3.4,2.3,1.5,2.8,2.1,2.2,3.5,3.3,3.5,1.7,1.9
3-Sep,1.9,1.6,3.2,2.2,2.5,1.6,1.1,2.1,1.9,2.5,1.5,1.7,2.5,1.4,2,2,0.8,1.8,1.2,2,2.4,1.4,2.7,0.8,2.3,1.3,1.8,2.9,1.7,2.6,1.8,1.6
4-Sep,3.17,2.7,3.4,2,2,4.2,2.1,1.7,4.1,6.1,3.8,1.7,2.5,2.5,2.4,4.6,1.5,2.5,2.9,4.2,5,2.2,2,2.8,0.9,7.3,2.2,6.6,2.8,3,3.5,3.1
5-Sep,1.61,1.5,2.3,1.7,2.7,1.6,1.5,1.8,0.9,1,1.5,1.3,1.9,1.6,0.9,1.2,2.1,1.5,0.9,1.3,2.5,1.2,2.1,1.2,1.4,1,2.1,2.1,2,2.8,1.3,1.1
6-Sep,3.04,2,3.2,2.5,2.9,4,1.7,3.2,2.9,4.3,3.8,3.4,2.5,3.4,3.3,4.7,2.5,2.3,2.6,1.8,3.8,2.6,1.8,2,3.2,3.3,1.9,5.9,2.8,4.5,2.7,2.7
7-Sep,2.83,2.8,2.6,2.8,2.8,3,1.6,1.7,2.7,5.1,4.5,1.7,3,1.2,3,5.3,1.9,1.1,2.7,2.7,6,0.4,2,2.5,1.1,3.3,2,5,2.3,3,4.3,3.7
8-Sep,1.69,2.6,1.4,1.3,1.3,1.9,2,1.6,1.4,1.6,2,0.9,2.3,1.9,1.8,2.9,0.8,1.8,2.4,1.1,1.7,1.3,1,2.3,0.7,2,1.6,1.7,2.2,1.2,2.5,1.3
9-Sep,1.71,0.6,2.2,2.8,1.9,2.3,1.3,1.7,1.8,1.1,1.2,2.5,1.3,2.4,2.4,2.4,1.2,1.4,1.8,1.6,1.2,1.8,1,1.5,1.7,1.4,1.4,2.2,1.9,1.7,1.7,1.7
10-Sep,0.63,0.6,0.2,0.6,1,0.7,0.3,0.5,0.2,0.7,0.8,0.7,0.7,0.5,0.7,0.5,0.5,0.2,0.7,0.6,1.4,0.3,1.1,0.8,1.1,0.4,0.5,1,0.4,0.6,0.3,0.8
11-Sep,1.67,2,2.2,0.4,0.9,1.7,1.7,1.3,1,3.5,2.3,0.9,1.4,1.2,0.5,2.8,0.8,1.8,1.5,1.2,2.7,1.8,1.1,1.6,1.1,1.4,1.1,5.2,2,1.6,1.6,1.6
12-Sep,1.48,2.6,1.4,1.8,1.7,0.9,2.5,1.2,0.7,0.5,1.1,1.7,1.2,1.6,1.7,1.8,1.6,1.8,1.1,0.7,1.5,2.4,1.4,1.1,2,0.6,0.9,1.8,2.5,1.3,1.3,1.5
13-Sep,5.37,8.6,5.2,3.5,5.3,5.2,10.7,3.4,5.6,4.4,3.2,4.3,4.9,6.6,3.7,6,3.3,8.3,4.8,3.9,5.4,9.3,3,4,4.1,5.1,2.8,6.4,8.7,3.3,4.1,9.3
14-Sep,2.81,3.3,3.2,1.7,3.2,2.6,2.3,1.7,2.5,2.8,1.9,2.8,2.4,2.4,3.4,4.8,1.7,2,4.3,2.6,3.7,1.4,4.1,3.4,4.1,2.9,2.5,4,1.7,2.8,2.9,1.9
15-Sep,1.02,1,0.5,0.4,1.8,2,0.4,0.8,0.9,0.9,1.5,0.9,0.3,0.4,1.7,2.1,1.1,0.2,1,0.9,1.7,0.3,1.3,1,0.3,1.3,0.8,2.6,0.2,1.2,1,1.1
16-Sep,0.84,0.7,0.9,0.7,1.3,0.5,0.3,0.8,0.5,1.2,1.8,0.7,0.7,0.2,1.1,0.9,0.9,0.6,0.8,0.5,2,0.5,0.8,0.7,0.7,0.5,0.7,1.8,0.4,1.2,0.6,1.1
17-Sep,1.94,2,2.2,2.7,2,2.3,2.5,1.7,2.1,1.1,2.5,1.7,1.6,2.5,1.8,3.3,2.5,2.4,1.6,0.7,2,2.5,0.7,1.4,1.6,2.4,0.7,2,2.1,1.7,1.6,2.2
18-Sep,0.57,0.4,1.2,0.6,1.2,0.1,0.3,0.6,0.6,0.5,0.6,0.7,1.1,0.5,0.6,0.2,0.2,1.4,0.1,0,0.6,0.8,0.5,0.1,0.7,0.6,0.3,1,0.6,0.6,0.8,0.3
19-Sep,1,1.9,1.3,0.4,0.2,0.9,1.2,0.5,1.1,1.5,0.7,0.6,0.5,1.5,0.7,1.4,1,1.2,1.4,0.8,0.4,1.2,0.7,1.2,0.4,0.7,0.8,2.4,0.7,1.1,1,1.6
20-Sep,1.22,1.7,1.9,1.7,2.1,1.4,1.2,0.7,0.9,0.3,0.6,0.4,0.8,1.3,1.5,0.9,1,1.4,1.5,0.4,1.9,1.4,1.6,1.2,1.7,1.6,0.8,0.9,1.4,0.7,1.1,1.9
